Parameter,Value,Unit,Description,Source,Derived?,Validation,Real_Value,Real_Error,Deviation_%,Within_Error,Real_Source_Link
N_vac,1.00e+500,dimensionless,String landscape vacua count,exp(log(10^500)) from flux compactifications,Yes (SymPy),Passed,,,,,
S_landscape,1151.2925464970228,dimensionless,Landscape entropy S = log(N_vac),log(10^500) ≈ 1151.29,Yes (SymPy),Passed,,,,,
Γ_bubble,0.0,yr^{-1} Mpc^{-3},Vacuum decay tunneling rate (Coleman-De Luccia),"exp(-S_E), S_E = 27π²σ⁴/(2ΔV³)",Yes (SymPy),Passed,,,,,
α_F,0.0045,M_Pl^{-2},"F(R,T,τ) quadratic curvature coefficient",64/(1440π² M_Pl²) from 1-loop quantum corrections,Yes (config.py),Passed,,,,,
β_F,0.15,dimensionless,"F(R,T,τ) matter coupling from breathing mode",2φ₀ where φ₀ = 0.075 M_Pl,Yes (config.py),Passed,,,,,
γ_F,0.0001,M_Pl^{-2},"F(R,T,τ) mixed RT coupling",g²/(M_Pl² √V_K) from multi-time coupling,Yes (config.py),Passed,,,,,
δ_F,1e-19,s,"F(R,T,τ) orthogonal time derivative coefficient",g Δt_ortho from two-time structure,Yes (config.py),Passed,,,,,
alpha_GUT_inv,-8.901822596517826,dimensionless,Unified gauge coupling 1/alpha at M_GUT,60% AS + 30% TC + 10% KK,Yes,In Progress,24.0,0.5,137.09092748549094,False,arXiv:hep-ph/0412173
D_half_A,14,dimensionless,"First 14D half (12,2) signature",26D->14Dx2 decomposition (Bars 2T physics),Asserted,Passed,,,,,
D_half_B,14,dimensionless,"Second 14D half (12,2) signature",26D->14Dx2 decomposition (Bars 2T physics),Asserted,Passed,,,,,
shared_time_dims,2,dimensionless,Shared timelike dimensions,2 times shared between halves (ghost elimination),Asserted,Passed,,,,,
c_total,0,dimensionless,Total CFT central charge (anomaly-free),c_matter_eff + c_ghost + delta_c_gauge = 24 - 26 + 2 = 0,Yes (config.py),Passed,0.0,0.0,0.0,Yes,arXiv:hep-th/0008164
c_matter,26,dimensionless,Matter central charge (24 spatial + 2 temporal),Bosonic string in 26D,Asserted,Passed,,,,,
c_ghost,-26,dimensionless,Virasoro ghost central charge (b-c system),Standard bosonic string ghosts,Asserted,Passed,,,,,
BRST_anomaly,0.0,dimensionless,BRST anomaly (Q^2 nilpotency),BRST charge Q^2 = 0,Yes (config.py),Passed,0.0,1e-10,0.0,Yes,
CASIMIR_5BRANE,33.75,dimensionless,"SO(24,2) Casimir for 5-brane (BPS stability)",C_2 = p(p+22)/4 = 5(27)/4 = 33.75,Yes (config.py),Passed,,,,,
CASIMIR_3BRANE,18.75,dimensionless,"SO(24,2) Casimir for 3-brane (BPS stability)",C_2 = p(p+22)/4 = 3(25)/4 = 18.75,Yes (config.py),Passed,,,,,
GHOST_FREE,True,boolean,"Ghost-free status (Sp(2,R) gauge fixing)","Sp(2,R) local gauge eliminates 2nd time ghosts",Yes (config.py),Passed,,,,,
TACHYON_PROJECTED,True,boolean,Tachyon projection status (GSO-like),Null constraints X^M X_M = 0 eliminate tachyons,Yes (config.py),Passed,,,,,
φ_M,TBD (v6.1+),dimensionless,Mashiach field stabilization value,To be derived from compactification (future work),Pending,Pending,,,,,
V_8,TBD (v6.1+),dimensionless,Internal 8D manifold volume,To be derived from compactification (future work),Pending,Pending,,,,,
